user_id,model,rmse,mae,n_test
HUPA0001P,ridge,65.15066001769023,51.22930759157687,818
HUPA0001P,elasticnet,65.19804536230471,51.27370180516445,818
HUPA0001P,hist_gbr,72.76325603891775,55.94993191211221,818
HUPA0001P,extra_trees,71.48297440803597,54.553557713468756,818
HUPA0002P,ridge,55.609152385441995,43.528275401651726,635
HUPA0002P,elasticnet,55.65106572621193,43.55978539325881,635
HUPA0002P,hist_gbr,68.11408425091486,57.837019727527306,635
HUPA0002P,extra_trees,65.0256555792523,54.1036795918187,635
HUPA0003P,ridge,70.98044636133373,56.26025671580813,753
HUPA0003P,elasticnet,71.00296746192816,56.266969124105415,753
HUPA0003P,hist_gbr,67.41166682557363,51.979499404638524,753
HUPA0003P,extra_trees,67.53750466644597,54.175973036593234,753
HUPA0004P,ridge,81.97775464552204,71.8295098721103,636
HUPA0004P,elasticnet,81.99270645494364,71.85594632103907,636
HUPA0004P,hist_gbr,87.58520252622706,71.0042378634063,636
HUPA0004P,extra_trees,89.88108626491076,73.59142461616979,636
HUPA0005P,ridge,45.01547180179854,36.84099671395178,771
HUPA0005P,elasticnet,45.01178991179161,36.84797489572839,771
HUPA0005P,hist_gbr,44.06480688374733,34.07247368071282,771
HUPA0005P,extra_trees,49.14747124051581,39.63900041559606,771
HUPA0006P,ridge,130.65568983426624,101.27844304141588,457
HUPA0006P,elasticnet,130.69209846784995,101.31544913796793,457
HUPA0006P,hist_gbr,133.10473873438718,103.13154566130727,457
HUPA0006P,extra_trees,121.46027333272085,99.44602571475417,457
HUPA0007P,ridge,63.080820501204904,52.03649754595336,771
HUPA0007P,elasticnet,63.05607569617066,52.024978574602265,771
HUPA0007P,hist_gbr,70.37938850720786,57.30733879346677,771
HUPA0007P,extra_trees,72.96280604892506,60.278377962813614,771
HUPA0009P,ridge,62.68778340483536,53.620089639060474,762
HUPA0009P,elasticnet,62.66837695766345,53.60593301548754,762
HUPA0009P,hist_gbr,75.95589691013747,61.22361180432,762
HUPA0009P,extra_trees,70.84320942254658,57.782234699138186,762
HUPA0010P,ridge,55.15566896694012,37.36926343890367,594
HUPA0010P,elasticnet,55.21357150490053,37.43912813865851,594
HUPA0010P,hist_gbr,58.31313571501935,43.67606524732837,594
HUPA0010P,extra_trees,49.42445553493553,36.275108544755916,594
HUPA0011P,ridge,55.384957720846856,41.81685685929468,767
HUPA0011P,elasticnet,55.40962252659664,41.84550793845206,767
HUPA0011P,hist_gbr,54.812532994015456,44.268452567187296,767
HUPA0011P,extra_trees,56.14623144903832,46.11896449350961,767
HUPA0014P,ridge,51.43848543624321,41.504328885617916,765
HUPA0014P,elasticnet,51.42125788152965,41.48081951272066,765
HUPA0014P,hist_gbr,63.05166661870267,54.34369748544072,765
HUPA0014P,extra_trees,62.96488786015694,55.006400540831024,765
HUPA0015P,ridge,58.930807114106905,49.33328606918547,758
HUPA0015P,elasticnet,58.90503171795515,49.32579565980222,758
HUPA0015P,hist_gbr,75.53707865054864,63.9711997775573,758
HUPA0015P,extra_trees,78.75139140349552,67.55141364692557,758
HUPA0016P,ridge,67.46364199583347,55.32417631637585,766
HUPA0016P,elasticnet,67.48480410083435,55.34036384114268,766
HUPA0016P,hist_gbr,74.32700617628353,55.43313001684926,766
HUPA0016P,extra_trees,76.41360567843002,58.21196132500193,766
HUPA0017P,ridge,64.467573130042,52.480177871941855,719
HUPA0017P,elasticnet,64.46867847709284,52.482503851477986,719
HUPA0017P,hist_gbr,78.93446649308993,64.98299007382357,719
HUPA0017P,extra_trees,77.88358549850177,65.32580230138203,719
HUPA0018P,ridge,78.94316754433454,64.15688330471336,778
HUPA0018P,elasticnet,78.96092086326924,64.17121166148019,778
HUPA0018P,hist_gbr,85.69492527581504,73.34813582492639,778
HUPA0018P,extra_trees,91.48744919036625,75.90511922332122,778
HUPA0019P,ridge,56.56313905240159,46.693193182728734,741
HUPA0019P,elasticnet,56.59748953924888,46.72441782771151,741
HUPA0019P,hist_gbr,66.93337928693406,54.234019294993395,741
HUPA0019P,extra_trees,64.70508655087117,52.497893431916864,741
HUPA0020P,ridge,87.3319938538371,70.5519238226033,572
HUPA0020P,elasticnet,87.31124647895233,70.54529480142656,572
HUPA0020P,hist_gbr,87.83324552554426,72.82412290143701,572
HUPA0020P,extra_trees,89.79168156674525,73.6884132610124,572
HUPA0021P,ridge,64.05979898973041,51.40960740081153,468
HUPA0021P,elasticnet,64.08341253134071,51.45680904392893,468
HUPA0021P,hist_gbr,63.238291446226974,52.00537838851769,468
HUPA0021P,extra_trees,51.98144787971535,43.47416373858561,468
HUPA0022P,ridge,37.6664881985217,32.396152108768035,804
HUPA0022P,elasticnet,37.675131479191634,32.402737062241386,804
HUPA0022P,hist_gbr,40.92592131399006,32.91657215616959,804
HUPA0022P,extra_trees,40.44108357292662,33.84087678787244,804
HUPA0023P,ridge,46.41976579387505,41.05376496827816,783
HUPA0023P,elasticnet,46.423855417048145,41.05064984797075,783
HUPA0023P,hist_gbr,58.43986786649175,50.618197245225566,783
HUPA0023P,extra_trees,57.6130889030438,49.702430483549634,783
HUPA0024P,ridge,75.22601489573236,60.97326383789804,580
HUPA0024P,elasticnet,75.19878135519457,60.975014623063984,580
HUPA0024P,hist_gbr,102.59011358571233,78.83492878358948,580
HUPA0024P,extra_trees,87.14787743599896,69.29833159312011,580
HUPA0025P,ridge,31.952219901038465,25.168026734896443,800
HUPA0025P,elasticnet,31.954144592316048,25.168621558873127,800
HUPA0025P,hist_gbr,45.17849907258472,36.196681513889196,800
HUPA0025P,extra_trees,35.62993149025327,29.492905680348986,800
HUPA0026P,ridge,67.65287549843717,52.98903331431273,8120
HUPA0026P,elasticnet,67.60005973229548,52.96638307013561,8120
HUPA0026P,hist_gbr,63.63866054677159,50.16335752526845,8120
HUPA0026P,extra_trees,63.38539010094223,50.65734792657158,8120
HUPA0027P,ridge,47.798284987203985,38.97380508791092,33060
HUPA0027P,elasticnet,47.783552166578836,38.96528370769133,33060
HUPA0027P,hist_gbr,43.97835948403751,35.07055163816955,33060
HUPA0027P,extra_trees,44.7465697607334,35.85183692469288,33060
HUPA0028P,ridge,43.986988440689586,36.128326617449,5180
HUPA0028P,elasticnet,43.98367977595801,36.124161521228615,5180
HUPA0028P,hist_gbr,45.59086456726999,36.97647818038311,5180
HUPA0028P,extra_trees,45.093381157514706,36.86431639910245,5180
